,date,state,cases,deaths
22048,2020-03-31,District of Columbia,495,9
22049,2020-03-31,Florida,87,0
22050,2020-03-31,Florida,9,0
22051,2020-03-31,Florida,8,0
22052,2020-03-31,Florida,2,0
22053,2020-03-31,Florida,37,0
22054,2020-03-31,Florida,1219,12
22055,2020-03-31,Florida,1,0
22056,2020-03-31,Florida,24,0
22057,2020-03-31,Florida,19,2
22058,2020-03-31,Florida,41,5
22059,2020-03-31,Florida,146,1
22060,2020-03-31,Florida,3,0
22061,2020-03-31,Florida,7,1
22062,2020-03-31,Florida,207,4
22063,2020-03-31,Florida,94,0
22064,2020-03-31,Florida,18,0
22065,2020-03-31,Florida,1,0
22066,2020-03-31,Florida,3,1
22067,2020-03-31,Florida,4,0
22068,2020-03-31,Florida,24,0
22069,2020-03-31,Florida,17,1
22070,2020-03-31,Florida,305,3
22071,2020-03-31,Florida,1,0
22072,2020-03-31,Florida,33,0
22073,2020-03-31,Florida,2,0
22074,2020-03-31,Florida,66,0
22075,2020-03-31,Florida,206,8
22076,2020-03-31,Florida,26,0
22077,2020-03-31,Florida,2,0
22078,2020-03-31,Florida,53,2
22079,2020-03-31,Florida,28,0
22080,2020-03-31,Florida,28,0
22081,2020-03-31,Florida,2123,7
22082,2020-03-31,Florida,27,0
22083,2020-03-31,Florida,10,0
22084,2020-03-31,Florida,39,1
22085,2020-03-31,Florida,373,4
22086,2020-03-31,Florida,110,1
22087,2020-03-31,Florida,551,14
22088,2020-03-31,Florida,40,2
22089,2020-03-31,Florida,167,5
22090,2020-03-31,Florida,73,1
22091,2020-03-31,Florida,13,0
22092,2020-03-31,Florida,44,2
22093,2020-03-31,Florida,76,3
22094,2020-03-31,Florida,103,0
22095,2020-03-31,Florida,79,2
22096,2020-03-31,Florida,38,2
22097,2020-03-31,Florida,51,0
22098,2020-03-31,Florida,3,0
22099,2020-03-31,Florida,1,0
22100,2020-03-31,Florida,2,0
22101,2020-03-31,Florida,80,1
22102,2020-03-31,Florida,1,0
22103,2020-03-31,Florida,18,0
22104,2020-03-31,Florida,1,0
22105,2020-03-31,Georgia,1,0
22106,2020-03-31,Georgia,5,0
22107,2020-03-31,Georgia,4,1
22108,2020-03-31,Georgia,5,1
22109,2020-03-31,Georgia,3,0
22110,2020-03-31,Georgia,19,2
22111,2020-03-31,Georgia,137,3
22112,2020-03-31,Georgia,3,0
22113,2020-03-31,Georgia,1,0
22114,2020-03-31,Georgia,20,0
